filename,category,coverage,weight,status,mode_a_sev,mode_b_sev,mode_c_sev,mode_d_sev
1712052247289,HEALTHY,0.5842,1.0,processed,88.9416,71.9699,71.9699,0.0
1723023200304,HEALTHY,0.6305,1.0,processed,27.2318,9.739,9.739,0.0
1712919772254,HEALTHY,0.4697,0.7,processed,56.599,54.234,54.234,0.0
1722597557729,HEALTHY,0.2668,0.7,processed,25.3502,8.1255,8.1255,0.0045
1712142298773,HEALTHY,0.246,0.3,processed,14.4021,9.673,9.673,0.0
1722944714513,HEALTHY,0.4638,0.7,processed,16.669,4.2688,4.2688,0.0011
1723029220790,HEALTHY,0.5047,1.0,processed,20.0426,16.525,16.525,0.0
Image_73,HEALTHY,0.9997,1.0,processed,30.2004,16.51,16.51,0.0
1712569057674,HEALTHY,0.3065,0.7,processed,11.732,14.9657,14.9657,0.0
1722935110798,HEALTHY,0.4967,0.7,processed,27.907,16.176,16.176,0.0038
1719218169936,HEALTHY,0.5673,1.0,processed,31.1244,3.8043,3.8043,0.0
1712742186708,HEALTHY,0.6003,1.0,processed,20.9752,3.2723,3.2723,0.0
1725280791529,HEALTHY,0.4881,0.7,processed,71.976,53.4648,53.4648,0.0
1717081536101,HEALTHY,0.4031,0.7,processed,24.1874,2.2145,2.2145,0.0
1722953480525,HEALTHY,0.3098,0.7,processed,48.4585,35.6179,35.6179,0.0
1723898189542,HEALTHY,0.3708,0.7,processed,47.3146,26.3954,26.3954,0.0
1718280966573,HEALTHY,0.417,0.7,processed,79.1612,51.1056,51.1056,0.0045
1716901754214,HEALTHY,0.3852,0.7,processed,34.7518,27.6633,27.6633,0.0
HEALTHY_12456 (1359),HEALTHY,0.697,1.0,processed,37.6674,25.6023,25.6023,0.0
1723802515973,HEALTHY,0.4561,0.7,processed,49.773,37.4104,37.4104,0.0
1721221123870,HEALTHY,0.3789,0.7,processed,30.3548,24.4642,24.4642,0.0
HEALTHY_12456 (1981),HEALTHY,0.0893,-1,processed,-1.0,-1.0,-1.0,-1.0
1715693704950,HEALTHY,0.4311,0.7,processed,55.8247,22.8645,22.8645,0.0003
1724160846212,HEALTHY,0.5811,1.0,processed,43.5844,15.9016,15.9016,0.0
1716469479282,HEALTHY,0.6326,1.0,processed,83.6207,47.1568,47.1568,0.0
1719581603981,HEALTHY,0.5092,1.0,processed,78.8129,58.7839,58.7839,0.0
1722861463765,HEALTHY,0.4215,0.7,processed,77.2087,60.9355,60.9355,0.0003
1712066981996,HEALTHY,0.382,0.7,processed,22.5956,19.3448,19.3448,0.0
1712394535431,HEALTHY,0.3541,0.7,processed,26.7147,22.5196,22.5196,0.0
1719921437653,HEALTHY,0.4213,0.7,processed,50.3726,15.1196,15.1196,0.0
1723882048135,HEALTHY,0.5197,1.0,processed,41.1292,19.7408,19.7408,0.0
1712575340923,HEALTHY,0.3086,0.7,processed,19.4909,17.9158,17.9158,0.0
1716549128377,HEALTHY,0.5842,1.0,processed,37.3089,28.0369,28.0369,0.0002
1712827476964,HEALTHY,0.4574,0.7,processed,20.1756,8.0859,8.0859,0.0
1725031313068,HEALTHY,0.4347,0.7,processed,45.8858,26.9894,26.9894,0.0003
1721732487764,HEALTHY,0.6003,1.0,processed,32.6942,18.7144,18.7144,0.0
1724064151935,HEALTHY,0.5852,1.0,processed,15.3452,7.1935,7.1935,0.0
1712999603900,HEALTHY,0.4951,0.7,processed,62.9613,39.1326,39.1326,0.0
1712823861282,HEALTHY,0.5264,1.0,processed,36.4371,16.4512,16.4512,0.0
1722344382851,HEALTHY,0.5421,1.0,processed,65.5511,53.1877,53.1877,0.0
1718362502793,HEALTHY,0.3735,0.7,processed,58.8713,39.8518,39.8518,0.0
1711618577936,HEALTHY,0.5838,1.0,processed,52.9175,32.4761,32.4761,0.0
1713183723555,HEALTHY,0.573,1.0,processed,50.4838,19.2,19.2,0.0
1723206194214,HEALTHY,0.5147,1.0,processed,62.5227,37.885,37.885,0.0
HEALTHY_12456 (2542),HEALTHY,0.7491,1.0,processed,0.1381,0.0555,0.0555,0.0
1721138833545,HEALTHY,0.2402,0.3,processed,45.6727,47.6206,47.6206,0.0
1720006342679,HEALTHY,0.6384,1.0,processed,67.983,21.3908,21.3908,0.0002
1711632798763,HEALTHY,0.489,0.7,processed,12.6649,7.8946,7.8946,0.0
1712573181155,HEALTHY,0.2292,0.3,processed,19.733,20.9735,20.9735,0.0
1720083408058,HEALTHY,0.32,0.7,processed,67.0139,35.8409,35.8409,0.0
1718705366469,HEALTHY,0.277,0.7,processed,41.613,24.5207,24.5207,0.0246
1716972216156,HEALTHY,0.4151,0.7,processed,64.8365,36.5335,36.5335,0.0
1716816684900,HEALTHY,0.385,0.7,processed,67.0981,52.6246,52.6246,0.0014
1722075051962,HEALTHY,0.384,0.7,processed,58.4388,51.9458,51.9458,0.0
Image_1219,HEALTHY,0.7494,1.0,processed,33.7077,19.1242,19.1242,0.0
1719570685286,HEALTHY,0.4458,0.7,processed,70.825,9.3912,9.3912,0.0
1723106135656,HEALTHY,0.3789,0.7,processed,12.8455,0.145,0.145,0.0
1712569117523,HEALTHY,0.4097,0.7,processed,12.0792,7.5008,7.5008,0.0
Image_960,HEALTHY,0.7495,1.0,processed,54.7833,23.0951,23.0951,0.0
1721729425726,HEALTHY,0.3828,0.7,processed,51.891,60.7706,60.7706,0.0
1711632621137,HEALTHY,0.3915,0.7,processed,36.5881,33.6487,33.6487,0.0
1722945201637,HEALTHY,0.3152,0.7,processed,88.5178,81.9907,81.9907,0.0004
1718024028633,HEALTHY,0.3454,0.7,processed,11.6615,0.6717,0.6717,0.0
1713449661861,HEALTHY,0.4811,0.7,processed,42.1766,24.6496,24.6496,0.0
1713442270291,HEALTHY,0.3719,0.7,processed,50.4842,34.7126,34.7126,0.0
1721302295633,HEALTHY,0.6701,1.0,processed,61.1639,30.6685,30.6685,0.0
1711966183442,HEALTHY,0.5628,1.0,processed,39.7327,37.166,37.166,0.0
1713454312388,HEALTHY,0.4244,0.7,processed,24.1908,13.9337,13.9337,0.0
1718793694699,HEALTHY,0.6653,1.0,processed,79.6109,44.8759,44.8759,0.0
1712928841497,HEALTHY,0.407,0.7,processed,54.2998,11.1591,11.1591,0.0
1725440175492,HEALTHY,0.3705,0.7,processed,15.5424,25.4149,25.4149,0.0
1721387433038,HEALTHY,0.414,0.7,processed,39.0478,26.4101,26.4101,0.0
1719060958878,HEALTHY,0.3976,0.7,processed,42.6207,14.4924,14.4924,0.0027
1712065930813,HEALTHY,0.3956,0.7,processed,19.3311,11.846,11.846,0.0
1717153315811,HEALTHY,0.6225,1.0,processed,49.4082,9.5329,9.5329,0.0
1712831284905,HEALTHY,0.337,0.7,processed,51.5969,21.5424,21.5424,0.0
1712923489668,HEALTHY,0.5371,1.0,processed,5.022,0.417,0.417,0.0
1716214036122,HEALTHY,0.6207,1.0,processed,25.3331,5.8957,5.8957,0.0
1714997520960,HEALTHY,0.3431,0.7,processed,35.5683,4.9045,4.9045,0.0
1717496505506,HEALTHY,0.4104,0.7,processed,50.9122,17.8803,17.8803,0.0
1712394545631,HEALTHY,0.3026,0.7,processed,31.9297,22.5866,22.5866,0.0044
1713001341017,HEALTHY,0.5428,1.0,processed,76.3422,57.2038,57.2038,0.0
1719393630514,HEALTHY,0.4292,0.7,processed,81.3632,49.7021,49.7021,0.0
1712830864285,HEALTHY,0.4271,0.7,processed,28.6973,16.1709,16.1709,0.0
1712918536726,HEALTHY,0.3523,0.7,processed,47.3293,18.7764,18.7764,0.0
1719392693558,HEALTHY,0.4845,0.7,processed,84.5351,62.5647,62.5647,0.5399
1721479601837,HEALTHY,0.5162,1.0,processed,31.8517,17.6605,17.6605,0.0
1717846897287,HEALTHY,0.4597,0.7,processed,36.2349,10.222,10.222,0.0009
1722932825939,HEALTHY,0.3235,0.7,processed,15.7863,6.1067,6.1067,0.0
1719395015627,HEALTHY,0.6192,1.0,processed,83.8196,61.6748,61.6748,0.0
1718200124858,HEALTHY,0.4801,0.7,processed,81.0334,48.3899,48.3899,0.0
1723902629374,HEALTHY,0.3943,0.7,processed,16.9868,1.2041,1.2041,0.0
1712743320687,HEALTHY,0.4686,0.7,processed,41.7684,8.1635,8.1635,0.0
1722862302445,HEALTHY,0.7197,1.0,processed,23.0249,10.5127,10.5127,0.0
HEALTHY_12456 (287),HEALTHY,0.7246,1.0,processed,17.1462,6.4599,6.4599,0.0002
1712738336824,HEALTHY,0.3715,0.7,processed,31.4193,19.8051,19.8051,0.0
1712839039049,HEALTHY,0.4361,0.7,processed,38.3606,29.4085,29.4085,0.0
1712414143576,HEALTHY,0.3133,0.7,processed,25.1394,17.3882,17.3882,0.0
1712145066376,HEALTHY,0.3207,0.7,processed,15.6593,1.7018,1.7018,0.0
1717495147110,HEALTHY,0.4033,0.7,processed,59.2645,27.6064,27.6064,0.0172
1712573102215,HEALTHY,0.4668,0.7,processed,13.4046,6.3664,6.3664,0.0
1717766441619,HEALTHY,0.5185,1.0,processed,59.9104,27.4152,27.4152,0.0
1715155318150,HEALTHY,0.4637,0.7,processed,35.9633,13.1161,13.1161,0.0
1718175222041,HEALTHY,0.3675,0.7,processed,46.6562,29.1628,29.1628,0.0
1718696962117,HEALTHY,0.2439,0.3,processed,43.2082,6.024,6.024,0.0301
1721135350928,HEALTHY,0.4259,0.7,processed,24.1362,6.6376,6.6376,0.0
HEALTHY_12456 (396),HEALTHY,0.6604,1.0,processed,2.1062,1.1736,1.1736,0.0007
1723018147061,HEALTHY,0.3085,0.7,processed,46.4753,35.691,35.691,0.0
1712742796070,HEALTHY,0.3851,0.7,processed,22.9076,3.2642,3.2642,0.0
1720000731975,HEALTHY,0.649,1.0,processed,92.3662,47.0302,47.0302,0.007
1721392608089,HEALTHY,0.2801,0.7,processed,46.716,26.307,26.307,0.0
1712740044875,HEALTHY,0.3777,0.7,processed,45.6112,32.1523,32.1523,0.0
1712404597192,HEALTHY,0.4284,0.7,processed,6.3602,4.1739,4.1739,0.0
1711618406605,HEALTHY,0.465,0.7,processed,69.3427,37.7267,37.7267,0.0
1716215145308,HEALTHY,0.545,1.0,processed,91.6966,61.4037,61.4037,0.0
Image_1074,HEALTHY,0.024,-1,processed,-1.0,-1.0,-1.0,-1.0
1720688294783,HEALTHY,0.6506,1.0,processed,84.786,39.7104,39.7104,0.0
1714997199631,HEALTHY,0.3765,0.7,processed,40.0503,3.6402,3.6402,0.0004
1718194389358,HEALTHY,0.5199,1.0,processed,22.8641,4.5425,4.5425,0.0
1716974032404,HEALTHY,0.4604,0.7,processed,66.8017,32.1725,32.1725,0.0
1713176208845,HEALTHY,0.4652,0.7,processed,63.2311,49.4502,49.4502,0.0
1717407142787,HEALTHY,0.4005,0.7,processed,67.1623,22.4792,22.4792,0.007
1725030735605,HEALTHY,0.6345,1.0,processed,22.0659,5.8263,5.8263,0.0
1722854989336,HEALTHY,0.2978,0.7,processed,16.31,2.0855,2.0855,0.0
1718108945463,HEALTHY,0.4782,0.7,processed,69.3685,15.2405,15.2405,0.0153
1712571402697,HEALTHY,0.5498,1.0,processed,16.9514,8.078,8.078,0.0
1721474314776,HEALTHY,0.4394,0.7,processed,62.5188,53.8531,53.8531,0.0
1716292419826,HEALTHY,0.4887,0.7,processed,75.8547,44.5453,44.5453,0.0153
Image_3836,HEALTHY,1.0,1.0,processed,50.8351,34.7295,34.7295,0.0007
1711629585899,HEALTHY,0.6601,1.0,processed,78.2224,49.9613,49.9613,0.0006
1719239005256,HEALTHY,0.4032,0.7,processed,40.2468,1.6018,1.6018,0.003
1712061936043,HEALTHY,0.576,1.0,processed,19.8113,6.8428,6.8428,0.0
1722243341672,HEALTHY,0.7163,1.0,processed,72.581,30.0173,30.0173,0.0
1725018052520,HEALTHY,0.3302,0.7,processed,41.6167,16.9429,16.9429,0.0
1718269572410,HEALTHY,0.6296,1.0,processed,65.5518,35.642,35.642,0.0002
1712995322591,HEALTHY,0.4152,0.7,processed,24.6295,10.2527,10.2527,0.0
1721125585376,HEALTHY,0.3997,0.7,processed,53.7218,46.6016,46.6016,0.0
1712566910228,HEALTHY,0.5109,1.0,processed,69.8334,45.0163,45.0163,0.0
1718370414623,HEALTHY,0.6714,1.0,processed,52.3048,14.0834,14.0834,0.0
1717068375139,HEALTHY,0.6192,1.0,processed,12.4239,4.0925,4.0925,0.0
1718786748313,HEALTHY,0.3182,0.7,processed,54.0157,23.8453,23.8453,0.0
1712833085366,HEALTHY,0.6049,1.0,processed,43.9758,19.2405,19.2405,0.0
HEALTHY_12456 (1331),HEALTHY,0.5465,1.0,processed,40.8049,16.2944,16.2944,0.0
1720095395870,HEALTHY,0.6772,1.0,processed,27.0516,4.528,4.528,0.0
1718619553439,HEALTHY,0.4148,0.7,processed,56.9989,53.1566,53.1566,0.2462
1722677306782,HEALTHY,0.4039,0.7,processed,48.4123,51.9952,51.9952,0.0
Image_2686,HEALTHY,0.7494,1.0,processed,12.5129,5.9031,5.9031,0.0
1717142237450,HEALTHY,0.5797,1.0,processed,13.1645,4.28,4.28,0.0
HEALTHY_12456 (441),HEALTHY,0.7463,1.0,processed,4.153,2.0818,2.0818,0.0
1717750353087,HEALTHY,0.5509,1.0,processed,80.8237,50.0794,50.0794,0.0
1717578765764,HEALTHY,0.5219,1.0,processed,21.4137,1.7984,1.7984,0.0
1721377024263,HEALTHY,0.3147,0.7,processed,73.7713,55.5972,55.5972,0.0
1722418990736,HEALTHY,0.4686,0.7,processed,23.9245,14.6467,14.6467,0.0
1723538498631,HEALTHY,0.5687,1.0,processed,35.5403,14.5918,14.5918,0.0
1721896456168,HEALTHY,0.6494,1.0,processed,23.401,11.3356,11.3356,0.0
1722510453198,HEALTHY,0.6863,1.0,processed,38.5817,3.0743,3.0743,0.0
1718025757261,HEALTHY,0.4899,0.7,processed,62.7643,51.3213,51.3213,0.0
1722510496296,HEALTHY,0.3206,0.7,processed,70.7933,35.659,35.659,0.0
1712576277156,HEALTHY,0.5813,1.0,processed,50.5473,19.7308,19.7308,0.0
1717496969001,HEALTHY,0.3013,0.7,processed,38.6096,4.3052,4.3052,0.0
1719401080667,HEALTHY,0.528,1.0,processed,34.1846,16.5421,16.5421,0.0
1721214542254,HEALTHY,0.5908,1.0,processed,38.3257,21.3331,21.3331,0.0
1716545063056,HEALTHY,0.7462,1.0,processed,59.2331,33.4255,33.4255,0.0
1712578847565,HEALTHY,0.2817,0.7,processed,17.7274,16.8209,16.8209,0.0
Image_2513,HEALTHY,0.0104,-1,processed,-1.0,-1.0,-1.0,-1.0
HEALTHY_1089,HEALTHY,0.7104,1.0,processed,3.5476,1.4547,1.4547,0.0
1718717651819,HEALTHY,0.6153,1.0,processed,40.4348,17.1121,17.1121,0.0002
1718015586878,HEALTHY,0.5537,1.0,processed,86.1851,57.8853,57.8853,0.0
1718112722258,HEALTHY,0.4621,0.7,processed,28.9583,4.7219,4.7219,0.0
1718614100393,HEALTHY,0.1994,0.3,processed,40.5718,36.9195,36.9195,0.0
1722609034279,HEALTHY,0.2088,0.3,processed,52.5448,56.8114,56.8114,0.0
1722846810636,HEALTHY,0.534,1.0,processed,49.0607,18.6127,18.6127,0.0
1717229583509,HEALTHY,0.7397,1.0,processed,12.2176,3.0057,3.0057,0.0
1722865598075,HEALTHY,0.3628,0.7,processed,66.7224,45.4754,45.4754,0.0011
1715773034702,HEALTHY,0.0272,-1,processed,-1.0,-1.0,-1.0,-1.0
1717422727082,HEALTHY,0.6304,1.0,processed,21.9433,8.4853,8.4853,0.0
1721818748199,HEALTHY,0.4576,0.7,processed,38.8208,19.9039,19.9039,0.0
1718270202099,HEALTHY,0.7248,1.0,processed,49.7866,19.61,19.61,0.0011
1712132166681,HEALTHY,0.5176,1.0,processed,48.8115,27.1142,27.1142,0.0
1722240962250,HEALTHY,0.3195,0.7,processed,38.4277,21.0088,21.0088,0.0
1717494338205,HEALTHY,0.4122,0.7,processed,17.4219,8.4552,8.4552,0.0
HEALTHY_12456 (2276),HEALTHY,0.4246,0.7,processed,12.3796,4.253,4.253,0.0
1721308218898,HEALTHY,0.6714,1.0,processed,43.2788,29.305,29.305,0.0
1721732901355,HEALTHY,0.3783,0.7,processed,40.0899,36.801,36.801,0.0
1712997665606,HEALTHY,0.4711,0.7,processed,11.5222,4.9522,4.9522,0.0
1716204022176,HEALTHY,0.5035,1.0,processed,46.6118,18.8327,18.8327,0.0
1721469023475,HEALTHY,0.2961,0.7,processed,45.4143,55.0399,55.0399,0.0
1718282610439,HEALTHY,0.5589,1.0,processed,53.7057,8.7906,8.7906,0.0
1718114915029,HEALTHY,0.4695,0.7,processed,72.1852,56.0569,56.0569,0.0173
Image_1328,HEALTHY,0.7472,1.0,processed,12.312,4.3256,4.3256,0.0
1717161437607,HEALTHY,0.3019,0.7,processed,77.1479,51.0889,51.0889,0.0
1712745364007,HEALTHY,0.4626,0.7,processed,24.2176,6.3808,6.3808,0.0
1718776534583,HEALTHY,0.5067,1.0,processed,75.3905,44.1652,44.1652,0.0121
1712568417244,HEALTHY,0.495,0.7,processed,8.2395,1.9308,1.9308,0.0
1722931625733,HEALTHY,0.3836,0.7,processed,29.5337,11.7471,11.7471,0.0
1712919109705,HEALTHY,0.3281,0.7,processed,41.7405,9.0224,9.0224,0.0
1719932426810,HEALTHY,0.2394,0.3,processed,42.0447,1.1646,1.1646,0.0
1722418534639,HEALTHY,0.6308,1.0,processed,72.6802,43.0216,43.0216,0.0
1722860818780,HEALTHY,0.3069,0.7,processed,51.1132,22.363,22.363,0.0
HEALTHY_12456 (2102),HEALTHY,0.7156,1.0,processed,59.906,33.7911,33.7911,0.0
HEALTHY_12456 (2169),HEALTHY,0.4277,0.7,processed,6.8795,3.5647,3.5647,0.0
1723886956409,HEALTHY,0.4185,0.7,processed,22.1557,5.0942,5.0942,0.0
1722842524900,HEALTHY,0.3563,0.7,processed,52.0158,30.1765,30.1765,0.0352
1721209938274,HEALTHY,0.4285,0.7,processed,50.3515,34.0644,34.0644,0.0
1717245244655,HEALTHY,0.568,1.0,processed,37.4768,14.1248,14.1248,0.0
1720606190091,HEALTHY,0.5077,1.0,processed,65.3347,42.316,42.316,0.0005
1715873013847,HEALTHY,0.8248,1.0,processed,26.1653,13.1267,13.1267,0.0
Image_3993,HEALTHY,1.0,1.0,processed,22.5697,12.682,12.682,0.0
1721116251702,HEALTHY,0.3636,0.7,processed,26.456,2.8646,2.8646,0.0
Image_682,HEALTHY,0.7492,1.0,processed,14.5414,6.529,6.529,0.0
1711624965859,HEALTHY,0.3591,0.7,processed,30.8357,22.7309,22.7309,0.0
1721651897448,HEALTHY,0.4161,0.7,processed,88.6402,64.015,64.015,0.1932
1712916021007,HEALTHY,0.5339,1.0,processed,29.3801,12.2008,12.2008,0.0
1722855794672,HEALTHY,0.2691,0.7,processed,51.2724,70.4157,70.4157,0.0
1718186409385,HEALTHY,0.6299,1.0,processed,33.7597,15.384,15.384,0.0
1712578775402,HEALTHY,0.5211,1.0,processed,30.6156,15.2345,15.2345,0.0
1722502970950,HEALTHY,0.6097,1.0,processed,56.5827,30.6851,30.6851,0.0
1725276955055,HEALTHY,0.381,0.7,processed,44.8921,13.0964,13.0964,0.0
1712925343396,HEALTHY,0.4858,0.7,processed,46.5617,20.3463,20.3463,0.0
1725435960151,HEALTHY,0.372,0.7,processed,30.8147,15.9292,15.9292,0.0
1712751781402,HEALTHY,0.6152,1.0,processed,6.0319,1.2831,1.2831,0.0
1721026611823,HEALTHY,0.4682,0.7,processed,25.6468,15.521,15.521,0.0
HEALTHY_12456 (1235),HEALTHY,0.7029,1.0,processed,44.2297,23.802,23.802,0.0005
1720100671516,HEALTHY,0.3688,0.7,processed,85.4046,60.3695,60.3695,0.0231
HEALTHY_12456 (583),HEALTHY,0.737,1.0,processed,21.8177,8.2715,8.2715,0.0
1716805075430,HEALTHY,0.3447,0.7,processed,84.5561,25.4365,25.4365,0.0
1722349016542,HEALTHY,0.297,0.7,processed,28.7854,15.8769,15.8769,0.0
1717668044300,HEALTHY,0.3335,0.7,processed,26.4991,10.1659,10.1659,0.0
1723028494014,HEALTHY,0.5477,1.0,processed,11.3385,0.548,0.548,0.0
Image_4518,HEALTHY,0.0,-1,processed,-1.0,-1.0,-1.0,-1.0
1719235564774,HEALTHY,0.5971,1.0,processed,35.9577,28.4161,28.4161,0.084
1721296075987,HEALTHY,0.5447,1.0,processed,30.935,13.8696,13.8696,0.0
1713440357931,HEALTHY,0.4788,0.7,processed,35.9815,28.1517,28.1517,0.0
1712826972989,HEALTHY,0.3658,0.7,processed,50.5731,16.3975,16.3975,0.0
1722843337658,HEALTHY,0.4245,0.7,processed,61.6879,46.1567,46.1567,0.0019
1717749247240,HEALTHY,0.4705,0.7,processed,70.6545,58.005,58.005,0.0
1712134858592,HEALTHY,0.5162,1.0,processed,21.9279,13.2828,13.2828,0.0
1720170330943,HEALTHY,0.3838,0.7,processed,43.0212,43.0177,43.0177,0.1195
1725265780482,HEALTHY,0.4135,0.7,processed,66.2919,34.2446,34.2446,0.0
1716461904915,HEALTHY,0.4526,0.7,processed,51.3121,32.5339,32.5339,0.0
HEALTHY_12456 (189),HEALTHY,0.6837,1.0,processed,2.058,0.4665,0.4665,0.0
Image_1978,HEALTHY,0.7454,1.0,processed,10.614,3.4055,3.4055,0.0
1723542786794,HEALTHY,0.8292,1.0,processed,11.2863,6.6699,6.6699,0.0006
1717479657144,HEALTHY,0.5534,1.0,processed,20.4116,1.3218,1.3218,0.0
Image_2138,HEALTHY,0.7383,1.0,processed,3.7208,1.5353,1.5353,0.0
HEALTHY_12456 (63),HEALTHY,0.6999,1.0,processed,14.8887,10.4312,10.4312,0.0094
1724063022009,HEALTHY,0.5423,1.0,processed,46.2216,20.2915,20.2915,0.0
1718718577251,HEALTHY,0.5315,1.0,processed,29.5165,9.0964,9.0964,0.0
1718458492433,HEALTHY,0.4297,0.7,processed,50.4386,30.7272,30.7272,0.0
1712051253242,HEALTHY,0.4537,0.7,processed,33.4769,17.7355,17.7355,0.0
1722591475393,HEALTHY,0.6692,1.0,processed,32.0969,21.4154,21.4154,0.0
1712392400875,HEALTHY,0.2948,0.7,processed,14.2674,13.7421,13.7421,0.0
1721306817078,HEALTHY,0.4538,0.7,processed,70.8111,49.9514,49.9514,0.0
1712742777930,HEALTHY,0.5139,1.0,processed,54.5309,30.8793,30.8793,0.0
1721209061901,HEALTHY,0.2858,0.7,processed,28.6065,32.8956,32.8956,0.0
Image_5458,HEALTHY,0.7494,1.0,processed,5.7323,3.0349,3.0349,0.0
1717686047849,HEALTHY,0.4649,0.7,processed,70.1226,26.82,26.82,0.0
1723805101359,HEALTHY,0.3507,0.7,processed,86.5759,88.5518,88.5518,0.0
1712748485421,HEALTHY,0.3246,0.7,processed,27.9637,30.5049,30.5049,0.0
1718873851999,HEALTHY,0.2599,0.7,processed,61.2946,29.0806,29.0806,0.0
1711619216338,HEALTHY,0.5632,1.0,processed,19.8185,9.5733,9.5733,0.0
1717772406189,HEALTHY,0.3381,0.7,processed,53.8524,8.2398,8.2398,0.0016
1722941023971,HEALTHY,0.446,0.7,processed,21.7204,3.294,3.294,0.0
Image_417,HEALTHY,0.7492,1.0,processed,2.4252,1.1949,1.1949,0.0
Image_331,HEALTHY,0.749,1.0,processed,4.969,2.3629,2.3629,0.0
1712756338963,HEALTHY,0.5659,1.0,processed,20.8942,8.3693,8.3693,0.0
1721385038915,HEALTHY,0.2991,0.7,processed,83.5694,65.2919,65.2919,0.0
1712918691808,HEALTHY,0.451,0.7,processed,11.7555,0.4116,0.4116,0.0
1721396184254,HEALTHY,0.3253,0.7,processed,52.5028,54.6801,54.6801,0.0
1724234005429,HEALTHY,0.4313,0.7,processed,16.0556,9.5206,9.5206,0.0
1724161272356,HEALTHY,0.5459,1.0,processed,30.0439,21.7652,21.7652,0.0
1721994887545,HEALTHY,0.5424,1.0,processed,64.4413,40.6323,40.6323,0.0253
1718608261495,HEALTHY,0.3994,0.7,processed,47.4186,20.5753,20.5753,0.0
